,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
50,10,8,16,1,2,2,2,1,1,0,2,2,1,0,0,1,1,2,1,0,1,2,1,0,1,0,1,0,1,0
51,12,22,18,1,0,1,2,2,0,2,2,0,2,0,2,0,1,1,0,0,1,0,1,1,2,2,1,2,1,2
52,5,8,24,2,2,2,2,1,0,0,0,2,0,0,0,1,2,0,1,2,2,1,1,1,1,0,2,2,0,0
53,5,20,10,0,0,0,0,1,0,0,2,2,2,1,0,0,1,1,0,1,1,2,2,1,2,2,0,2,0,2
54,5,12,22,0,1,1,1,2,1,1,2,2,0,0,1,1,2,2,2,0,2,1,0,0,1,1,2,2,1,0
55,4,3,1,0,0,0,2,1,1,0,0,2,1,0,0,2,1,0,1,0,0,1,1,2,0,1,0,0,1,0
56,24,4,19,2,1,0,2,2,0,0,1,2,1,1,0,0,2,0,0,2,0,0,0,1,0,2,0,1,1,0
57,5,14,8,2,0,0,1,0,2,1,2,2,1,2,0,2,2,0,1,2,2,2,2,2,2,1,0,1,1,2
58,5,16,24,1,2,2,2,1,0,0,0,0,0,0,2,0,2,0,1,0,2,1,1,1,2,0,2,2,0,1
59,6,24,1,2,1,1,2,0,1,0,1,0,1,2,2,1,2,2,1,1,0,1,0,2,1,1,2,1,1,0
60,4,20,8,1,1,2,2,1,0,1,1,2,2,2,1,1,0,1,2,2,2,1,0,1,2,1,2,1,1,1
61,4,20,7,0,0,0,0,2,1,0,0,2,1,0,1,1,2,1,0,1,0,1,0,1,2,1,2,1,1,2
62,12,18,19,1,1,2,2,0,0,0,2,0,1,0,2,1,1,0,1,0,0,1,0,0,1,0,2,1,1,0
63,10,8,16,1,2,2,0,1,1,2,2,2,1,0,0,2,1,2,2,2,1,2,1,1,1,0,0,0,2,0
64,6,12,5,0,2,2,0,2,1,2,1,1,0,1,2,0,2,2,0,2,2,0,2,0,2,2,1,0,1,2
65,10,4,12,1,1,2,1,2,2,0,0,0,1,2,1,1,2,2,1,1,1,1,2,1,1,0,1,2,0,2
66,22,24,5,1,1,2,0,1,0,1,1,1,1,1,1,1,2,0,0,0,1,1,1,0,1,2,0,2,1,2
67,5,14,8,2,0,0,1,0,2,1,2,2,1,2,0,1,2,0,1,2,2,0,1,0,2,1,1,1,1,2
68,6,8,5,2,2,0,0,0,2,1,0,1,0,0,2,0,0,2,2,2,1,2,1,2,1,1,1,1,1,2
69,8,3,19,1,0,1,0,0,2,0,0,0,2,1,0,2,1,1,1,0,0,1,0,1,2,0,2,2,2,2
70,12,22,18,1,0,1,2,2,0,2,2,0,2,0,2,0,1,1,2,0,1,0,1,1,2,2,0,1,1,2
71,10,8,16,1,2,2,0,1,1,2,2,2,1,0,0,2,1,2,1,2,1,2,1,1,1,0,1,0,2,0
72,6,5,7,0,2,1,1,2,2,1,0,0,2,2,0,0,0,1,0,2,2,1,1,1,1,1,1,2,1,2
73,6,5,19,2,2,2,2,2,1,1,0,2,1,0,0,2,0,1,1,1,0,1,2,2,1,1,2,0,1,2
74,5,16,24,2,2,2,2,1,0,0,0,2,0,0,2,0,2,0,1,0,2,1,1,1,2,0,2,2,0,1
75,9,20,8,0,0,1,0,2,2,0,0,1,1,0,1,1,2,1,0,1,0,1,0,2,2,1,2,1,1,2
76,4,2,9,0,0,1,1,2,1,1,0,0,2,1,0,1,0,0,0,0,0,2,0,2,1,1,2,0,0,2
77,21,18,8,2,2,2,2,0,1,1,1,1,2,0,2,2,2,2,1,2,0,0,0,0,1,0,2,0,2,2
78,4,3,19,2,0,1,1,0,2,1,1,2,2,1,2,1,0,1,1,0,0,2,0,1,2,1,2,1,0,2
79,6,10,1,2,2,2,2,2,2,2,0,1,0,2,2,2,0,2,2,2,1,1,0,2,1,2,1,1,1,2
80,5,8,24,2,2,2,2,0,0,0,2,2,0,0,1,1,2,0,1,2,2,1,1,1,1,0,2,2,0,2
81,6,9,7,2,0,2,0,0,1,0,2,2,1,0,1,2,0,1,0,1,1,1,1,1,2,0,1,0,0,1
82,6,24,0,2,1,2,2,2,1,0,1,0,1,2,2,1,2,0,0,1,0,1,0,2,1,1,2,1,1,0
83,18,20,9,2,2,1,2,1,0,0,0,2,1,0,0,2,0,1,2,1,1,0,0,0,0,2,0,0,1,1
84,10,8,16,1,2,2,2,2,1,0,2,2,1,0,2,1,1,2,1,1,0,2,1,0,1,1,1,0,1,0
85,6,5,7,0,0,1,1,2,2,0,0,1,1,2,0,0,0,1,0,1,2,0,1,1,1,1,1,2,1,2
86,4,7,16,2,0,2,0,1,1,0,1,2,1,0,0,0,2,2,1,2,0,0,0,1,1,0,1,0,1,0
87,1,5,11,1,1,0,2,0,2,0,1,2,2,1,2,1,2,0,1,1,0,1,1,1,2,1,2,1,2,1
88,4,7,10,1,2,0,0,1,2,1,0,2,1,0,2,1,0,1,0,1,1,0,1,2,2,0,2,2,2,2
89,5,14,3,0,0,0,2,1,2,0,0,1,1,0,2,0,0,1,0,2,2,0,1,1,0,1,0,1,1,2
90,18,4,19,1,0,2,2,1,0,0,2,1,1,2,2,1,1,2,0,2,1,2,2,1,0,0,0,2,0,1
91,5,8,16,1,2,2,0,1,1,2,2,2,1,0,0,2,1,2,1,2,1,2,1,1,1,0,1,0,2,0
92,4,20,7,0,2,0,1,2,1,0,0,2,1,0,1,1,2,1,2,1,0,1,0,1,0,1,2,1,1,2
93,21,0,5,2,2,2,1,1,2,0,2,0,2,2,2,2,0,2,0,2,0,1,1,0,2,0,1,0,2,2
94,11,9,10,1,0,1,2,1,2,0,2,2,1,1,0,0,1,1,0,1,1,2,2,2,1,2,0,2,1,2
95,18,20,9,1,2,1,0,0,2,2,0,2,1,0,0,0,0,1,2,1,1,0,0,0,0,2,2,0,1,1
96,9,7,16,0,2,1,2,2,2,1,1,1,2,0,2,2,2,2,2,0,0,1,2,2,2,1,2,1,1,0
97,10,16,5,2,0,1,1,0,1,1,2,1,1,2,1,1,1,0,2,1,2,0,1,2,1,2,1,2,2,0
98,10,8,15,1,2,2,2,2,1,0,2,2,1,0,2,1,1,2,1,1,0,2,1,0,1,1,1,0,1,0
99,5,15,9,1,2,1,2,0,1,0,0,0,0,2,0,1,1,0,0,1,1,2,0,2,0,1,2,0,0,1
100,5,21,8,0,1,2,1,2,1,1,2,2,0,2,1,2,0,0,0,1,0,1,2,2,2,1,2,1,2,1
101,18,4,19,1,0,2,2,2,0,1,2,1,0,2,2,1,1,2,2,2,1,2,0,1,0,0,0,2,0,1
102,12,0,19,2,1,1,2,0,0,0,2,0,2,0,2,0,1,0,1,2,0,2,0,0,1,2,2,2,1,0
103,6,8,16,0,2,2,0,0,0,2,1,2,2,0,0,1,1,2,2,2,1,2,1,1,1,0,0,0,1,0
104,4,20,7,0,2,0,1,2,1,0,0,2,1,0,2,1,2,1,2,1,0,1,0,1,0,1,2,1,1,2
105,0,20,24,0,0,0,0,2,1,0,0,0,1,0,0,1,0,1,2,2,1,1,0,1,2,2,2,1,1,0
106,4,2,9,0,0,1,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,1,2,0,1,2
107,6,14,3,0,1,2,2,1,0,0,0,1,2,0,2,0,0,1,0,2,2,2,1,0,1,1,0,2,1,1
108,5,14,1,1,0,1,0,1,0,1,0,2,1,0,2,0,2,1,1,1,2,1,1,2,2,1,1,0,1,2
109,21,23,18,1,0,1,1,0,1,0,2,2,0,0,0,1,2,0,0,2,1,1,0,0,1,1,0,1,1,1
110,5,15,9,0,2,1,2,2,2,0,2,0,0,0,2,1,1,0,1,0,1,2,0,1,1,1,2,0,0,1
111,5,21,8,1,0,2,1,2,1,1,0,2,1,1,2,0,1,0,2,2,2,1,0,0,0,1,0,1,1,2
112,4,3,19,2,0,1,1,0,2,1,2,2,2,1,2,1,0,1,1,0,0,0,0,1,2,1,2,0,0,2
113,0,10,1,2,2,0,2,2,0,1,2,1,1,1,2,0,1,0,1,2,0,1,1,0,2,1,1,2,1,0
114,4,20,22,2,1,0,1,0,1,0,1,0,1,0,2,0,0,2,2,2,0,2,2,1,0,2,1,1,1,1
115,5,3,24,2,2,2,2,1,0,0,0,2,1,0,2,0,2,0,1,0,2,1,1,1,2,0,0,2,1,1
116,10,8,14,1,2,2,0,1,1,2,2,2,1,0,0,2,1,2,1,2,1,1,1,1,1,1,1,0,0,0
117,19,8,18,2,0,1,0,1,0,1,0,2,1,2,0,1,2,2,1,2,1,0,1,0,2,1,0,2,2,1
